configuration,thought_type,average_score_full,std_error_full,average_score_without,std_error_without
Transfer CoT OSS,Transfer,0.6574444233235859,0.03671477788217591,0.592953531742096,0.031426230450860536
Ensemble CoT QwQ + OSS/DAPO,Ensemble,0.629051950715837,0.04330757713335728,0.6320694487719309,0.033112784679139834
Ensemble CoT Gen Qwq Oss Eval Dapo,Ensemble,0.6197123843715304,0.037274795484947915,0.6135297990980603,0.03353661566934094
Ensemble CoT QwQ + DAPO/OSS,Ensemble,0.6129806951397941,0.03356825020739898,0.6181149219473203,0.033830085235436826
Transfer CoT DAPO,Transfer,0.6068001211824872,0.037767342837313075,0.6061248646321751,0.03245212748873722
Ensemble CoT Gen Qwq Opent Eval Oss,Ensemble,0.6050219084535327,0.03332095643201161,0.6070164598642834,0.03237842750186826
Ensemble CoT Gen Qwq Dapo Eval Oss,Ensemble,0.5886148442824681,0.03400394344294606,0.6001067598660788,0.033251266788401034
Transfer CoT NRR,Transfer,0.5883665290049145,0.03206371400426372,0.5759881187904449,0.030421808103161235
Transfer CoT QWQ,Transfer,0.5800233167126065,0.03527252114079657,0.6033847058670861,0.033297310269523095
Empty,Empty,0.5646303217609724,0.029909340151282063,,
Default,Default,0.5601817176881291,0.03065804930498196,0.5598978543139639,0.030772495995334916
Transfer CoT OPENT,Transfer,0.5163975496093431,0.0340940795489057,0.5955210805223101,0.03167995285322415
Sampled,Sampled,0.4973278097311655,0.029674808054971878,0.5399443075770424,0.029468427891692538
